id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_profile_id,host_profile_url,host_name,host_since,hosts_time_as_user_years,hosts_time_as_user_months,hosts_time_as_host_years,hosts_time_as_host_months,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,price_quote_checkin_date,price_quote_checkout_date,price_quote_total_price,price_quote_price_per_night,price_quote_raw,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
33813653,https://www.airbnb.com/rooms/33813653,20260627225958,2026-06-28,city scrape,Room in Central for 2person !! 3/walk up !! (ML3H),"8 people in Flat Sharing. 3/F walk up building<br /><br />The apartment has everything you need, bed, sofa, washing machine, fridge, pots and pans, microwave, desk, chair, Wifi internet, all the kitchen <br />utensils, blanket, curtain, pillows etc. Just bring your suitcase.<br /><br />It's super convenient to access all types of public transportation. Good for any occasion.",,https://a0.muscache.com/pictures/e6e92af4-f71c-4cc4-b555-176254b7c9f1.jpg,7518056,https://www.airbnb.com/users/show/7518056,1462561227490697137,https://www.airbnb.com/users/profile/1462561227490697137,Jovee,,12,11,10,2,Hong Kong,"Hi !  Welcome to Hong Kong !!!
If you need to ask anything about Hong Kong....ask !!! 
I will try my Best to help answer them.
I do have many rooms available.   Just message me anytime to ask me what I have or let me know what you are looking for , such as location, budget, etc.

Here to help !!!",,,,f,,https://a0.muscache.com/im/pictures/user/d50ec7ed-ea9f-48b4-b13b-8524ee9a680e.jpg?aki_policy=profile_x_medium,,216,,None,t,t,,Central & Western,,22.28236,114.15257,Private room in rental unit,Private room,2,1.0,1 bath,,1,"[""Hangers"", ""Kitchen"", ""Washer"", ""Wifi"", ""Air conditioning"", ""Iron""]",$177.00,2026-06-30,2026-07-29,5133.00,177.00,"{""quote"": {""taxes"": null, ""currency"": ""HKD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""5133"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": null, ""price_per_night"": ""177"", ""nightly_subtotal"": null, ""discounted_subtotal"": ""5132.66"", ""raw_price_line_items"": [{""amount"": ""5132.66"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$5,132.66 HKD""}, {""amount"": ""5132.66"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$5,132.66 HKD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-06-30"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-07-29""}}",29,1125,29,29,1125,1125,29.0,1125.0,,t,28,58,88,363,2026-06-28,0,0,0,185,0,0,0,,,,,,,,,,,,216,9,207,0,
33815954,https://www.airbnb.com/rooms/33815954,20260627225958,2026-06-29,city scrape,(WF1) 尖沙咀，鄰近香港科學館，7分鐘到達港鐵站，擁有3間獨立房間，適合家庭出遊，配備智能電視。,"Located in Tsim Sha Tsui, 6 minutes from Tsim Sha Tsui MTR Exit P3, close to the Hong Kong History Museum and the Hong Kong Science Museum, with a wide range of interesting exhibitions and attractions to choose from. If you like shopping, you can't miss the surrounding mega shopping centers - TheOne, Miramar and nearby K11, iSquare, etc. In addition to Hong Kong's signature street snacks, Tsim Sha Tsui is full of Michelin-starred restaurants and local delicacies, which are unforgettable! The apartment is newly decorated, the lobby is spacious and can accommodate many people, 3 rooms have double beds, private bathrooms and kitchens, the first choice for groups and families.",,https://a0.muscache.com/pictures/hosting/Hosting-33815954/original/656d46fd-a7e4-4f19-a698-0d27e6502f35.jpeg,240790745,https://www.airbnb.com/users/show/240790745,1463273960133750510,https://www.airbnb.com/users/profile/1463273960133750510,Samson,,7,4,7,3,,"",,,,t,,https://a0.muscache.com/im/pictures/user/30211ba8-2486-451b-886d-e58fd857a248.jpg?aki_policy=profile_x_medium,,39,,None,t,t,,Yau Tsim Mong,,22.30074,114.17703,Entire rental unit,Entire home/apt,12,,1 bath,3,6,"[""Heating"", ""Hangers"", ""Cooking basics"", ""Air conditioning"", ""Hot water kettle"", ""Shampoo"", ""Essentials"", ""Washer"", ""Refrigerator"", ""Hot water"", ""Microwave"", ""Paid parking off premises"", ""Keypad"", ""Elevator"", ""Rice maker"", ""TV"", ""Iron"", ""Private entrance"", ""Hair dryer"", ""Bed linens"", ""Kitchen"", ""Dishes and silverware"", ""Self check-in"", ""Crib"", ""Shower gel"", ""Wifi""]","$1,273.93",2026-07-13,2026-07-16,3821.79,1273.93,"{""quote"": {""taxes"": null, ""currency"": ""HKD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""3821.79"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": null, ""price_per_night"": ""1273.93"", ""nightly_subtotal"": ""3821.79"", ""discounted_subtotal"": ""3821.79"", ""raw_price_line_items"": [{""amount"": ""3821.79"", ""item_type"": ""nightly_subtotal"", ""description"": ""3 nights x $1,273.93 HKD"", ""price_string"": ""$3,821.79 HKD""}, {""amount"": ""3821.79"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$3,821.79 HKD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-07-13"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-07-16""}}",2,1125,2,28,1125,1125,20.4,1125.0,,t,8,10,37,303,2026-06-29,146,40,3,124,45,240,305743,2019-05-13,2026-06-13,4.84,4.8,4.68,4.92,4.95,4.79,4.81,,,16,16,0,0,1.68
33818880,https://www.airbnb.com/rooms/33818880,20260627225958,2026-06-28,city scrape,Wanchai Room for 2 person with Lift !!! (MH2d ),"ROOM for 2 persons !!!  right in Wanchai.<br />with LIFT.<br /><br />it is soooo close to Times Square. There is a nice cinema there so you can walk there in your pyjamas to go and catch a movie and just WALK HOME after !<br /><br />many FRESH meat and FRESH vegetables and fruits just 3 mins walk away.<br /><br />There is a bus stop right in front  , around the corner of the building that will bring you to Kowloon within mins !!!<br /><br />Super convenient area.  Quiet too !",,https://a0.muscache.com/pictures/8e77c3f4-e7e1-4c6a-a890-1e65f2c8e95e.jpg,7518056,https://www.airbnb.com/users/show/7518056,1462561227490697137,https://www.airbnb.com/users/profile/1462561227490697137,Jovee,,12,11,10,2,Hong Kong,"Hi !  Welcome to Hong Kong !!!
If you need to ask anything about Hong Kong....ask !!! 
I will try my Best to help answer them.
I do have many rooms available.   Just message me anytime to ask me what I have or let me know what you are looking for , such as location, budget, etc.

Here to help !!!",,,,f,,https://a0.muscache.com/im/pictures/user/d50ec7ed-ea9f-48b4-b13b-8524ee9a680e.jpg?aki_policy=profile_x_medium,,216,,None,t,t,,Wan Chai,,22.27714,114.18023,Private room in rental unit,Private room,2,1.0,1 bath,,1,"[""Washer"", ""Air conditioning"", ""Kitchen"", ""Iron"", ""Hangers"", ""Wifi""]",$177.00,2026-06-29,2026-07-28,5133.00,177.00,"{""quote"": {""taxes"": null, ""currency"": ""HKD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""5133"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": null, ""price_per_night"": ""177"", ""nightly_subtotal"": null, ""discounted_subtotal"": ""5132.66"", ""raw_price_line_items"": [{""amount"": ""5132.66"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$5,132.66 HKD""}, {""amount"": ""5132.66"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$5,132.66 HKD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-06-29"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-07-28""}}",29,1125,29,29,1125,1125,29.0,1125.0,,t,29,59,89,364,2026-06-28,0,0,0,186,0,0,0,,,,,,,,,,,,216,9,207,0,
33823278,https://www.airbnb.com/rooms/33823278,20260627225958,2026-06-28,city scrape,Tsim sha Tsui room for 2ppl with LIFT( T5a),"This is a nice room in Tsimshatsui.<br />Only 5 mins walk to the shopping mall !!!<br />Walk there for a movie in your pyjamas !!!<br />and just walk home after !<br /><br />Many restaurants nearby , bus stops, etc.<br />Very Convenient.<br />MTR like 5 mins walk away.<br /> <br />Good for 2 persons !!!<br />and a washing machine.<br />this is with lift!!!",,https://a0.muscache.com/pictures/7dddfbcc-9da6-4233-b17c-d459cfe566f9.jpg,7518056,https://www.airbnb.com/users/show/7518056,1462561227490697137,https://www.airbnb.com/users/profile/1462561227490697137,Jovee,,12,11,10,2,Hong Kong,"Hi !  Welcome to Hong Kong !!!
If you need to ask anything about Hong Kong....ask !!! 
I will try my Best to help answer them.
I do have many rooms available.   Just message me anytime to ask me what I have or let me know what you are looking for , such as location, budget, etc.

Here to help !!!",,,,f,,https://a0.muscache.com/im/pictures/user/d50ec7ed-ea9f-48b4-b13b-8524ee9a680e.jpg?aki_policy=profile_x_medium,,216,,None,t,t,,Yau Tsim Mong,,22.29935,114.17525,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,1,"[""Hangers"", ""Air conditioning"", ""Wifi""]",$194.10,2026-06-30,2026-07-29,5629.00,194.10,"{""quote"": {""taxes"": null, ""currency"": ""HKD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""5629"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": null, ""price_per_night"": ""194.1034482758620689655172414"", ""nightly_subtotal"": null, ""discounted_subtotal"": ""5628.16"", ""raw_price_line_items"": [{""amount"": ""5628.16"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$5,628.16 HKD""}, {""amount"": ""5628.16"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$5,628.16 HKD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-06-30"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-07-29""}}",29,1125,29,29,1125,1125,29.0,1125.0,,t,28,58,88,363,2026-06-28,0,0,0,185,0,0,0,,,,,,,,,,,,216,9,207,0,
33886495,https://www.airbnb.com/rooms/33886495,20260627225958,2026-06-28,city scrape,Causeway Bay  near Times Square !for 2 w/lift(c5c),ROOM for 2 persons !!!  right in Causeway Bay.<br /> <br /><br />it is soooo close to Times Square. There is a nice cinema there so you can walk there in your pyjamas to go and catch a movie and just WALK HOME after !<br /> <br />Causeway Bay is the PLACE TO LIVE . if you love shopping !!!<br /><br />Super convenient area.,,https://a0.muscache.com/pictures/miso/Hosting-33886495/original/184c206d-6dba-4871-b0a6-cfa9f484f515.jpeg,7518056,https://www.airbnb.com/users/show/7518056,1462561227490697137,https://www.airbnb.com/users/profile/1462561227490697137,Jovee,,12,11,10,2,Hong Kong,"Hi !  Welcome to Hong Kong !!!
If you need to ask anything about Hong Kong....ask !!! 
I will try my Best to help answer them.
I do have many rooms available.   Just message me anytime to ask me what I have or let me know what you are looking for , such as location, budget, etc.

Here to help !!!",,,,f,,https://a0.muscache.com/im/pictures/user/d50ec7ed-ea9f-48b4-b13b-8524ee9a680e.jpg?aki_policy=profile_x_medium,,216,,None,t,t,,Wan Chai,,22.25761,114.19194,Private room in rental unit,Private room,2,1.0,1 shared bath,,1,"[""Hangers"", ""Kitchen"", ""Washer"", ""Lock on bedroom door"", ""Wifi"", ""Air conditioning"", ""Iron""]",$177.00,2026-06-30,2026-07-29,5133.00,177.00,"{""quote"": {""taxes"": null, ""currency"": ""HKD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""5133"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": null, ""price_per_night"": ""177"", ""nightly_subtotal"": null, ""discounted_subtotal"": ""5132.66"", ""raw_price_line_items"": [{""amount"": ""5132.66"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$5,132.66 HKD""}, {""amount"": ""5132.66"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$5,132.66 HKD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-06-30"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-07-29""}}",29,1125,29,29,1125,1125,29.0,1125.0,,t,28,58,88,363,2026-06-28,1,0,0,185,0,0,0,2024-08-27,2024-08-27,3.0,4.0,3.0,5.0,5.0,5.0,3.0,,,216,9,207,0,0.04
33923167,https://www.airbnb.com/rooms/33923167,20260627225958,2026-06-28,city scrape,COMPACT STUDIO AT BONHAM STREET,"Located on Bonham Strand, spend your amazing time in Hong Kong living in these furnished studio apartments which are perfect for guest looking for budget rental solutions. This is a complete residential area with cafes and eating joints nearby..",,https://a0.muscache.com/pictures/a30dec12-eab6-4935-a328-df1707143fa7.jpg,138649185,https://www.airbnb.com/users/show/138649185,1462958959957533044,https://www.airbnb.com/users/profile/1462958959957533044,Sidharth,,8,11,8,11,,"Hosting around 200+ properties, I am a part of the global marketplace that exists to solve all your leisure and corporate travel needs by delivering premium and bespoke serviced apartments in Singapore, Hong Kong, Australia and other APAC regions. All the apartments checked through a 100-point checklist to make it the best accommodation for you.  

Feel confident that you will have a comfortable and a satisfying stay with a clean and welcoming apartment, Keys available at the agreed time, Working internet connection, Prompt & efficient attention to your queries.

My team will also assist you with services like Airport/local transfers, Breakfast pack for selected properties, Meet & Greet service for our maximum apartments. 

Book today and enjoy the stay!!!",,,,f,,https://a0.muscache.com/im/pictures/user/26acfa45-7a03-4082-909f-60af7ba41efe.jpg?aki_policy=profile_x_medium,,492,,None,t,t,,Wan Chai,,22.25792,114.19216,Entire serviced apartment,Entire home/apt,1,1.0,1 bath,,1,"[""Stove"", ""Essentials"", ""Cooking basics"", ""Kitchen"", ""TV"", ""Dedicated workspace"", ""Wifi"", ""Smoke alarm"", ""Hot water"", ""Fire extinguisher"", ""Air conditioning"", ""Iron"", ""Long term stays allowed"", ""Bed linens""]",$432.89,2026-06-30,2026-07-28,12121.00,432.89,"{""quote"": {""taxes"": null, ""currency"": ""HKD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""12121"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": ""560.00"", ""price_per_night"": ""432.8928571428571428571428571"", ""nightly_subtotal"": null, ""discounted_subtotal"": null, ""raw_price_line_items"": [{""amount"": ""12680.01"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$12,680.01 HKD""}, {""amount"": ""-560.00"", ""item_type"": ""discount_amount"", ""description"": ""Monthly stay discount"", ""price_string"": ""-$560.00 HKD""}, {""amount"": ""12120.01"", ""item_type"": ""other"", ""description"": ""Total"", ""price_string"": ""$12,120.01 HKD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-06-30"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-07-28""}}",28,1125,28,28,1125,1125,28.0,1125.0,,t,28,58,88,363,2026-06-28,0,0,0,185,0,0,0,,,,,,,,,,,,135,135,0,0,
33973399,https://www.airbnb.com/rooms/33973399,20260627225958,2026-06-28,city scrape,Room  in Sai Ying Pun shared  apartment  (S4e),"This listing is for 1 private room in a shared apartment.<br />If you like to meet new friends, expand your Network ! This is THE Place.<br />We have flatmates who have been staying with us for months and even years ! FREE local Hong Kong Tips ! Where to eat cheap, which restaurant serves Great Food, how to find a job ( if you need help )….etc.<br />Centrally located in Hong Kong, near MTR (Subway) , bus stop. You can walk there within Minutes !",,https://a0.muscache.com/pictures/miso/Hosting-33973399/original/ae189569-d197-41dd-8230-bd5154e715a8.jpeg,97240131,https://www.airbnb.com/users/show/97240131,1467171467424096512,https://www.airbnb.com/users/profile/1467171467424096512,Jov,,9,8,9,8,Hong Kong,"Welcome to Hong Kong !
If you choose to stay with me, well, not me in particular, as I do have many rooms available for you to choose from.
Causeway Bay, Central, Sheung Wan, Kennedy Town, North Point, Yaumatei, TST, Olympic.....ehhhhh...too MANY ! 
One GOOD thing about staying at my apartments is.....
you will get to MEET NEW FRIENDS !!!

Guaranteed.

Many are expats, interns, exchange students, is time for you to build your Network !!!

Enjoy Your Stay !

Message me anytime !!! I am here to help !!!",,,,f,,https://a0.muscache.com/im/pictures/user/990e64c5-5755-4207-9949-afda4573e9cd.jpg?aki_policy=profile_x_medium,,295,,None,t,t,,Central & Western,,22.28448,114.14294,Private room in rental unit,Private room,1,1.0,1 shared bath,,1,"[""Wifi"", ""Air conditioning"", ""Iron"", ""Kitchen""]",$223.79,2026-06-30,2026-07-29,6490.00,223.79,"{""quote"": {""taxes"": null, ""currency"": ""HKD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""6490"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": null, ""price_per_night"": ""223.7931034482758620689655172"", ""nightly_subtotal"": null, ""discounted_subtotal"": ""6489.73"", ""raw_price_line_items"": [{""amount"": ""6489.73"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$6,489.73 HKD""}, {""amount"": ""6489.73"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$6,489.73 HKD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-06-30"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-07-29""}}",29,1125,29,29,1125,1125,29.0,1125.0,,t,28,58,88,363,2026-06-28,0,0,0,185,0,0,0,,,,,,,,,,,,294,20,274,0,
34006673,https://www.airbnb.com/rooms/34006673,20260627225958,2026-06-28,city scrape,(KW7) 佐敦，著名街道廟街旁，距港鐵2分鐘，兩房大廳，獨立廚廁,"Located in the heart of Jordan, Hong Kong, next to the famous Temple Street, 2 minutes from Jordan MTR Station Exit A.<br /><br />There are many Hong Kong restaurants nearby, Hong Kong snacks, hot pots, everything you need to taste Hong Kong.<br /><br />Close to Tsim Sha Tsui, there are large shopping malls, including Pacific Place, The One, and Miramar, etc.<br /><br />The interior is clean, the hall is wide, it can accommodate many people, it has two bedrooms, including two double bedrooms. The living room has an extra bed and a sofa bed, as well as a private bathroom and kitchen.",,https://a0.muscache.com/pictures/hosting/Hosting-34006673/original/187c105c-5442-4a1b-8472-939a6930858f.jpeg,240790745,https://www.airbnb.com/users/show/240790745,1463273960133750510,https://www.airbnb.com/users/profile/1463273960133750510,Samson,,7,4,7,3,,"",,,,t,,https://a0.muscache.com/im/pictures/user/30211ba8-2486-451b-886d-e58fd857a248.jpg?aki_policy=profile_x_medium,,39,,None,t,t,,Yau Tsim Mong,,22.3059,114.1689,Entire rental unit,Entire home/apt,6,1.0,1 bath,2,3,"[""Heating"", ""Clothing storage"", ""Hangers"", ""Cooking basics"", ""Air conditioning"", ""Hot water kettle"", ""Shampoo"", ""Essentials"", ""Refrigerator"", ""Hot water"", ""Microwave"", ""Room-darkening shades"", ""Keypad"", ""Elevator"", ""Rice maker"", ""TV"", ""Iron"", ""Private entrance"", ""Hair dryer"", ""Stove"", ""Kitchen"", ""Dishes and silverware"", ""Self check-in"", ""Crib"", ""Shower gel"", ""Wifi""]","$1,198.24",2026-06-29,2026-07-01,2396.47,1198.24,"{""quote"": {""taxes"": null, ""currency"": ""HKD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""2396.47"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": null, ""price_per_night"": ""1198.235"", ""nightly_subtotal"": ""2396.47"", ""discounted_subtotal"": ""2396.47"", ""raw_price_line_items"": [{""amount"": ""2396.47"", ""item_type"": ""nightly_subtotal"", ""description"": ""2 nights x $1,198.24 HKD"", ""price_string"": ""$2,396.47 HKD""}, {""amount"": ""2396.47"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$2,396.47 HKD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-06-29"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-07-01""}}",2,1125,2,28,1125,1125,21.6,1125.0,,t,7,18,30,210,2026-06-28,169,37,2,126,44,222,266009,2019-05-01,2026-06-06,4.87,4.84,4.8,4.88,4.88,4.91,4.82,,,16,16,0,0,1.94
34006961,https://www.airbnb.com/rooms/34006961,20260627225958,2026-06-28,city scrape,5mins to MTR Luxury King bed roomTST Kowloon 尖東海傍,"Welcome to HK!<br /><br />Luxury rooms have high-speed internet access and Handy smartphones with unlimited local and international calls and free internet access.<br /><br />Room size around 33-35 square meters, with bathtub ,working desk, handy phone, safety box, quality bed sheet and bath towels was provided.<br /><br />Whether you are in an outdoor area overlooking the bustling city, or enjoying Hong Kong's distinctive architecture from your room, you can visually embrace HK, and the detached feeling is unbeatable.",,https://a0.muscache.com/pictures/722a398a-b7f7-4f54-9cf8-8a9b740f1407.jpg,250074211,https://www.airbnb.com/users/show/250074211,1463298189038580964,https://www.airbnb.com/users/profile/1463298189038580964,Fresa,,7,3,7,2,,Hi everyone! I am Fresa,,,,f,,https://a0.muscache.com/im/pictures/user/cc9896c1-9f61-43b7-adb5-98fa3afb2d01.jpg?aki_policy=profile_x_medium,,1,,None,t,t,,Yau Tsim Mong,,22.29573,114.1735,Room in hotel,Private room,3,1.0,1 private bath,1,2,"[""Heating"", ""Hangers"", ""Air conditioning"", ""Shampoo"", ""Essentials"", ""Washer"", ""Carbon monoxide alarm"", ""Pool"", ""Hot water"", ""Elevator"", ""Beach access \u2013 Beachfront"", ""TV"", ""Iron"", ""Private entrance"", ""Hair dryer"", ""First aid kit"", ""Wifi"", ""Smoke alarm"", ""Fire extinguisher"", ""Gym"", ""Dryer""]","$1,622.00",2026-07-01,2026-07-02,1622.00,1622.00,"{""quote"": {""taxes"": null, ""currency"": ""HKD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""1622"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": null, ""price_per_night"": ""1622"", ""nightly_subtotal"": ""1621.37"", ""discounted_subtotal"": ""1621.37"", ""raw_price_line_items"": [{""amount"": ""1621.37"", ""item_type"": ""nightly_subtotal"", ""description"": ""1 night x $1,621.37 HKD"", ""price_string"": ""$1,621.37 HKD""}, {""amount"": ""1621.37"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$1,621.37 HKD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-07-01"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-07-02""}}",1,1125,1,1,1125,1125,1.0,1125.0,,t,27,57,87,362,2026-06-28,0,0,0,184,0,0,0,,,,,,,,,,,,1,0,1,0,
34098981,https://www.airbnb.com/rooms/34098981,20260627225958,2026-06-28,city scrape,"2房一廳,優雅裝飾,可住4-5人,位於旺角市區,7分鐘旺角地鐵站,三分鐘到朗豪坊","Wx: Gebling627<br />This cozy room has 24-hour security, 3 minutes from Mong Kok MRT station, 2 minutes to Langham Place<br /><br />Located in Mong Kok. Convenient transportation, private bathroom<br />* 5 min to A21 bus stop<br />* 5 mins to Mong Kok Startup Center<br />* 2 minutes to Mong Kok Station<br />* 5 minutes to Garden Street<br />* 5 mins to Mong Kok East Railway Station<br />* 5 minutes to Ladies' Market<br />* 2 minutes to Langham Place<br />* 5 min to Wong Gung Bus Stop<br /><br />Neighbors don't like to be disturbed, so everyone tries to keep a low profile and go up in batches. Please don't talk to strangers.",,https://a0.muscache.com/pictures/17d013eb-b429-4a05-9c7e-ab056d616e6b.jpg,187838016,https://www.airbnb.com/users/show/187838016,1468972914789133777,https://www.airbnb.com/users/profile/1468972914789133777,Youga,,8,1,8,1,,想結識世界各地的朋友,,,,f,,https://a0.muscache.com/im/pictures/user/User-187838016/original/7a38e31d-4158-432d-bd60-db6077e2e177.jpeg?aki_policy=profile_x_medium,,2,,None,t,t,,Yau Tsim Mong,,22.31885,114.16755,Entire rental unit,Entire home/apt,5,1.5,1.5 baths,2,3,"[""First aid kit"", ""Elevator"", ""Smart lock"", ""Essentials"", ""TV"", ""Self check-in"", ""Carbon monoxide alarm"", ""Wifi"", ""Smoke alarm"", ""Fire extinguisher"", ""Air conditioning"", ""Private entrance"", ""Hair dryer"", ""Shampoo""]","$1,563.53",2026-06-29,2026-07-29,46906.00,1563.53,"{""quote"": {""taxes"": null, ""currency"": ""HKD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""46906"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": null, ""price_per_night"": ""1563.533333333333333333333333"", ""nightly_subtotal"": null, ""discounted_subtotal"": ""46905.37"", ""raw_price_line_items"": [{""amount"": ""46905.37"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$46,905.37 HKD""}, {""amount"": ""46905.37"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$46,905.37 HKD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-06-29"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-07-29""}}",30,120,30,30,120,120,30.0,120.0,,t,29,59,89,180,2026-06-28,20,0,0,180,0,0,0,2019-05-02,2019-10-17,4.8,4.8,4.85,5.0,4.95,4.7,4.75,,,2,2,0,0,0.23
34102313,https://www.airbnb.com/rooms/34102313,20260627225958,2026-06-28,city scrape,"Stylish and bright, well equipped 2 bedroom","A contemporary apartment on a high floor with good views and lots of light. Very centrally located with many high quality restaurants, cafes and supermarket all within 2-5 minutes walk. Lift access with good security. There’s a gym and pool at the clubhouse floor.",,https://a0.muscache.com/pictures/bf2fab59-1cd5-4f0a-b408-4bf9b804804f.jpg,29199934,https://www.airbnb.com/users/show/29199934,1465430300835735696,https://www.airbnb.com/users/profile/1465430300835735696,Sarita,,11,3,7,1,Singapore,,,,,f,,https://a0.muscache.com/im/pictures/user/b16540da-a754-47d0-811f-85357e4376fe.jpg?aki_policy=profile_x_medium,,1,,None,t,t,,Wan Chai,,22.27477,114.17549,Entire rental unit,Entire home/apt,4,2.0,2 baths,2,2,"[""High chair"", ""Baby bath"", ""Hair dryer"", ""Air conditioning"", ""Room-darkening shades"", ""Kitchen"", ""Children\u2019s books and toys"", ""Pool"", ""Changing table"", ""Shampoo"", ""Essentials"", ""Bathtub"", ""Children\u2019s dinnerware"", ""Gym"", ""Host greets you"", ""Hot water"", ""Wifi"", ""Elevator""]","$2,654.40",2026-07-05,2026-07-25,53088.00,2654.40,"{""quote"": {""taxes"": null, ""currency"": ""HKD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""53088"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": null, ""price_per_night"": ""2654.4"", ""nightly_subtotal"": ""53087.55"", ""discounted_subtotal"": ""53087.55"", ""raw_price_line_items"": [{""amount"": ""53087.55"", ""item_type"": ""nightly_subtotal"", ""description"": ""20 nights x $2,654.38 HKD"", ""price_string"": ""$53,087.55 HKD""}, {""amount"": ""53087.55"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$53,087.55 HKD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-07-05"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-07-25""}}",20,1125,20,20,1125,1125,20.0,1125.0,,t,23,53,83,83,2026-06-28,0,0,0,83,0,0,0,,,,,,,,,,,,1,1,0,0,
